game_id,home_team,away_team,pool_home_spread,picked_side
401856634,Alabama,East Carolina,-28.5,Alabama
401856636,Auburn,Baylor,-7.0,Auburn
401856637,Florida,Florida Atlantic,-26.5,Florida Atlantic
